"PRODUCTID","OK_ID_TIERS","ERP_ID_TIERS","ERP_ID_TIERS_QUALIAC","ROLE"
"RCB_TIE000000009806","WFRE00037760","109435","109435","C"
"RCB_TIE000000011117","WFRE00043144","110373","110373","C"
"RCB_TIE000000011911","WFRE00045280","134994","134994","C"
"RCB_TIE000000010205","WFRE00039652","211730","211730","C"
"RCB_TIE000000011126","WFRE00043192","138935","138935","C"
"RCB_TIE000000010210","WFRE00039684","109388","109388","C"
"RCB_TIE000000011130","WFRE00043203","124441","124441","C"
"RCB_TIE000000010015","WFRE00038445","132024","132024","C"
"RCB_TIE000000011519","WFRE00044559","074799","074799","C"
"RCB_TIE000000009636","WFRE00037117","107594","107594","C"
"RCB_TIE000000011148","WFRE00043265","210339","210339","C"
"RCB_TIE000000010043","WFRE00038646","079517","079517","C"
"RCB_TIE000000011354","WFRE00043995","109728","109728","C"
"RCB_TIE000000010441","WFRE00040671","109204","109204","C"
"RCB_TIE000000010254","WFRE00039932","103365","103365","C"
"RCB_TIE000000010261","WFRE00039946","119089","119089","C"
"RCB_TIE000000010066","WFRE00038770","210513","210513","C"
"RCB_TIE000000011564","WFRE00044637","101786","101786","C"
"RCB_TIE000000011972","WFRE00045427","104381","104381","C"
"RCB_TIE000000012176","WFRE00046105","075426","075426","C"
"RCB_TIE000000010280","WFRE00040052","099780","099780","C"
"RCB_TIE000000014127","WFRE00052354","119087","119087","C"
"RCB_TIE000000013732","WFRE00051164","006295","006295","C"
"RCB_TIE000000013342","WFRE00049804","146028","146028","C"
"RCB_TIE000000014132","WFRE00052360","073609","073609","C"
"RCB_TIE000000012626","WFRE00047592","109488","109488","C"
"RCB_TIE000000011443","WFRE00044354","109147","109147","C"
"RCB_TIE000000014538","WFRE00054582","106061","106061","C"
"RCB_TIE000000012241","WFRE00046346","118663","118663","C"
"RCB_TIE000000013743","WFRE00051190","143703","143703","C"
"RCB_TIE000000014552","WFRE00054676","103547","103547","C"
"RCB_TIE000000012260","WFRE00046400","109452","109452","C"
"RCB_TIE000000011861","WFRE00045191","116612","116612","C"
"RCB_TIE000000014168","WFRE00052615","121568","121568","C"
"RCB_TIE000000012658","WFRE00047737","210526","210526","C"
"RCB_TIE000000013386","WFRE00049904","103460","103460","C"
"RCB_TIE000000014577","WFRE00054796","132843","132843","C"
"RCB_TIE000000012972","WFRE00048829","055413","055413","C"
"RCB_TIE000000011482","WFRE00044474","109392","109392","C"
"RCB_TIE000000011283","WFRE00043731","210345","210345","C"
"RCB_TIE000000011086","WFRE00042981","123963","123963","C"
"RCB_TIE000000013399","WFRE00049932","212043","212043","C"
"RCB_TIE000000012293","WFRE00046485","107011","107011","C"
"RCB_TIE000000011094","WFRE00043017","128161","128161","C"
"RCB_TIE000000012300","WFRE00046507","109394","109394","C"
"RCB_TIE000000015014","WFRE00056097","114891","114891","C"
"RCB_TIE000000012710","WFRE00047891","107122","107122","C"
"RCB_TIE000000016510","WFRE00060247","137358","137358","C"
"RCB_TIE000000015027","WFRE00056122","138073","138073","C"
"RCB_TIE000000015719","WFRE00057967","143033","143033","C"
"RCB_TIE000000015425","WFRE00057106","145166","145166","C"
"RCB_TIE000000016125","WFRE00059080","101871","101871","C"
"RCB_TIE000000015436","WFRE00057122","115717","115717","C"
"RCB_TIE000000017716","WFRE00064485","104826","104826","C"
"RCB_TIE000000012340","WFRE00046609","113380","113380","C"
"RCB_TIE000000014266","WFRE00053291","211444","211444","C"
"RCB_TIE000000016550","WFRE00060449","210131","210131","C"
"RCB_TIE000000016551","WFRE00060457","003713","003713","C"
"RCB_TIE000000016155","WFRE00059165","210512","210512","C"
"RCB_TIE000000015469","WFRE00057186","133801","133801","C"
"RCB_TIE000000012372","WFRE00046756","104765","104765","C"
"RCB_TIE000000014275","WFRE00053328","106724","106724","C"
"RCB_TIE000000015760","WFRE00058061","211773","211773","C"
"RCB_TIE000000017354","WFRE00063256","136185","136185","C"
"RCB_TIE000000013058","WFRE00049042","211231","211231","C"
"RCB_TIE000000017757","WFRE00064577","210792","210792","C"
"RCB_TIE000000016175","WFRE00059225","212311","212311","C"
"RCB_TIE000000014697","WFRE00055229","210322","210322","C"
"RCB_TIE000000016178","WFRE00059231","111992","111992","C"
"RCB_TIE000000012790","WFRE00048184","127261","127261","C"
"RCB_TIE000000015781","WFRE00058115","109220","109220","C"
"RCB_TIE000000017767","WFRE00064619","300639","300639","C"
"RCB_TIE000000013075","WFRE00049087","079185","079185","C"
"RCB_TIE000000013510","WFRE00050273","194058","194058","C"
"RCB_TIE000000013078","WFRE00049093","107706","107706","C"
"RCB_TIE000000015791","WFRE00058135","137521","137521","C"
"RCB_TIE000000015505","WFRE00057304","200000","200000","C"
"RCB_TIE000000013912","WFRE00051684","211840","211840","C"
"RCB_TIE000000013923","WFRE00051710","107327","107327","C"
"RCB_TIE000000012815","WFRE00048220","008990","008990","C"
"RCB_TIE000000014328","WFRE00053675","211348","211348","C"
"RCB_TIE000000016205","WFRE00059293","109750","109750","C"
"RCB_TIE000000015811","WFRE00058194","212418","212418","C"
"RCB_TIE000000015813","WFRE00058197","104209","104209","C"
"RCB_TIE000000012833","WFRE00048273","076396","076396","C"
"RCB_TIE000000016215","WFRE00059309","211848","211848","C"
"RCB_TIE000000017801","WFRE00064767","211293","211293","C"
"RCB_TIE000000015820","WFRE00058215","136659","136659","C"
"RCB_TIE000000015156","WFRE00056475","137226","137226","C"
"RCB_TIE000000017017","WFRE00062150","211654","211654","C"
"RCB_TIE000000012453","WFRE00047079","136603","136603","C"
"RCB_TIE000000014371","WFRE00053843","104554","104554","C"
"RCB_TIE000000014377","WFRE00053880","210140","210140","C"
"RCB_TIE000000015845","WFRE00058266","210863","210863","C"
"RCB_TIE000000015185","WFRE00056547","211429","211429","C"
"RCB_TIE000000014786","WFRE00055497","212102","212102","C"
"RCB_TIE000000015189","WFRE00056552","104908","104908","C"
"RCB_TIE000000013598","WFRE00050821","113136","113136","C"
"RCB_TIE000000015586","WFRE00057545","104683","104683","C"
"RCB_TIE000000017447","WFRE00063530","140493","140493","C"
"RCB_TIE000000013155","WFRE00049352","211950","211950","C"
"RCB_TIE000000016279","WFRE00059511","123138","123138","C"
"RCB_TIE000000017467","WFRE00063603","099605","099605","C"
"RCB_TIE000000017468","WFRE00063604","210442","210442","C"
"RCB_TIE000000018303","WFRE00066423","137357","137357","C"
"RCB_TIE000000015884","WFRE00058365","135949","135949","C"
"RCB_TIE000000017883","WFRE00064975","127760","127760","C"
"RCB_TIE000000014423","WFRE00054152","210435","210435","C"
"RCB_TIE000000018311","WFRE00066464","109461","109461","C"
"RCB_TIE000000017887","WFRE00064980","104226","104226","C"
"RCB_TIE000000017085","WFRE00062325","211810","211810","C"
"RCB_TIE000000014838","WFRE00055611","103682","103682","C"
"RCB_TIE000000014445","WFRE00054227","211789","211789","C"
"RCB_TIE000000018139","WFRE00065533","212312","212312","C"
"RCB_TIE000000014453","WFRE00054304","104830","104830","C"
"RCB_TIE000000014852","WFRE00055668","130155","130155","C"
"RCB_TIE000000013656","WFRE00050916","109966","109966","C"
"RCB_TIE000000017906","WFRE00065028","104274","104274","C"
"RCB_TIE000000015257","WFRE00056772","144368","144368","C"
"RCB_TIE000000015914","WFRE00058487","102013","102013","C"
"RCB_TIE000000013661","WFRE00050927","007492","007492","C"
"RCB_TIE000000018163","WFRE00065737","104956","104956","C"
"RCB_TIE000000014470","WFRE00054362","104126","104126","C"
"RCB_TIE000000017511","WFRE00063752","101008","101008","C"
"RCB_TIE000000015666","WFRE00057813","109994","109994","C"
"RCB_TIE000000014077","WFRE00052173","073482","073482","C"
"RCB_TIE000000018171","WFRE00065785","118237","118237","C"
"RCB_TIE000000013679","WFRE00050988","109783","109783","C"
"RCB_TIE000000018172","WFRE00065796","138107","138107","C"
"RCB_TIE000000014884","WFRE00055731","109563","109563","C"
"RCB_TIE000000016736","WFRE00061290","210023","210023","C"
"RCB_TIE000000018375","WFRE00066606","211392","211392","C"
"RCB_TIE000000015938","WFRE00058554","109898","109898","C"
"RCB_TIE000000018183","WFRE00065931","145050","145050","C"
"RCB_TIE000000018191","WFRE00066007","107420","107420","C"
"RCB_TIE000000014100","WFRE00052232","136657","136657","C"
"RCB_TIE000000015693","WFRE00057899","001122","001122","C"
"RCB_TIE000000019301","WFRE00069441","109854","109854","C"
"RCB_TIE000000015952","WFRE00058614","101854","101854","C"
"RCB_TIE000000017950","WFRE00065150","137734","137734","C"
"RCB_TIE000000016754","WFRE00061336","104367","104367","C"
"RCB_TIE000000018507","WFRE00067044","211206","211206","C"
"RCB_TIE000000019307","WFRE00069455","136620","136620","C"
"RCB_TIE000000018714","WFRE00067605","210369","210369","C"
"RCB_TIE000000018208","WFRE00066152","211973","211973","C"
"RCB_TIE000000017160","WFRE00062579","079613","079613","C"
"RCB_TIE000000015971","WFRE00058682","211283","211283","C"
"RCB_TIE000000019127","WFRE00069101","135597","135597","C"
"RCB_TIE000000015982","WFRE00058705","103566","103566","C"
"RCB_TIE000000018936","WFRE00068402","104442","104442","C"
"RCB_TIE000000018940","WFRE00068407","132675","132675","C"
"RCB_TIE000000013276","WFRE00049649","113389","113389","C"
"RCB_TIE000000018942","WFRE00068419","210567","210567","C"
"RCB_TIE000000017575","WFRE00063977","104249","104249","C"
"RCB_TIE000000015991","WFRE00058719","110337","110337","C"
"RCB_TIE000000018239","WFRE00066263","109650","109650","C"
"RCB_TIE000000019149","WFRE00069139","104465","104465","C"
"RCB_TIE000000019158","WFRE00069160","211180","211180","C"
"RCB_TIE000000018563","WFRE00067186","210856","210856","C"
"RCB_TIE000000017590","WFRE00064037","146149","146149","C"
"RCB_TIE000000018000","WFRE00065246","079337","079337","C"
"RCB_TIE000000016012","WFRE00058795","101457","101457","C"
"RCB_TIE000000018979","WFRE00068617","008540","008540","C"
"RCB_TIE000000019769","WFRE00070512","211389","211389","C"
"RCB_TIE000000016815","WFRE00061587","124544","124544","C"
"RCB_TIE000000018783","WFRE00067816","211246","211246","C"
"RCB_TIE000000017218","WFRE00062809","212498","212498","C"
"RCB_TIE000000017220","WFRE00062812","079331","079331","C"
"RCB_TIE000000018479","WFRE00066915","006420","006420","C"
"RCB_TIE000000018286","WFRE00066350","104737","104737","C"
"RCB_TIE000000018804","WFRE00067859","212473","212473","C"
"RCB_TIE000000016842","WFRE00061633","121355","121355","C"
"RCB_TIE000000017631","","212237","212237","C"
"RCB_TIE000000019215","WFRE00069272","125109","125109","C"
"RCB_TIE000000016451","WFRE00060068","008394","008394","C"
"RCB_TIE000000019538","WFRE00069995","102027","102027","C"
"RCB_TIE000000018627","WFRE00067392","210288","210288","C"
"RCB_TIE000000018631","WFRE00067411","101545","101545","C"
"RCB_TIE000000019817","WFRE00070609","104016","104016","C"
"RCB_TIE000000019551","WFRE00070028","211445","211445","C"
"RCB_TIE000000016469","WFRE00060116","109860","109860","C"
"RCB_TIE000000016869","WFRE00061745","104205","104205","C"
"RCB_TIE000000019828","WFRE00070633","113631","113631","C"
"RCB_TIE000000018842","WFRE00067992","211387","211387","C"
"RCB_TIE000000019446","WFRE00069812","141964","141964","C"
"RCB_TIE000000018652","WFRE00067473","112251","112251","C"
"RCB_TIE000000021536","WFRE00075363","104808","104808","C"
"RCB_TIE000000018851","WFRE00068038","123139","123139","C"
"RCB_TIE000000018656","WFRE00067483","007740","007740","C"
"RCB_TIE000000019570","WFRE00070066","141335","141335","C"
