PRODUCTID|PRODUCTIDEXT|||CATEGORIE
"RCB_TIE000000249262"|"RCB_STE_COM000000000016"|||"B**"
"RCB_TIE000000249136"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249244"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249292"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249270"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249521"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249395"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249382"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249393"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249398"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249442"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249402"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249389"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000249354"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249484"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249376"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249467"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249404"|"RCB_STE_COM000000000016"|||"B**"
"RCB_TIE000000249363"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249296"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249272"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249486"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249258"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249269"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249455"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249437"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249478"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249399"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249443"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249459"|"RCB_STE_COM000000000016"|||"B**"
"RCB_TIE000000249336"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249428"|"RCB_STE_COM000000000016"|||"2**"
"RCB_TIE000000249547"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000249542"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000249432"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249307"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249341"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249412"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249464"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249465"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249344"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249522"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249324"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249323"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249460"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249438"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249563"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249497"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249339"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249328"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249451"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249384"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249422"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249456"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249506"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249431"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249489"|"RCB_STE_COM000000000016"|||"2**"
"RCB_TIE000000249365"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249540"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249564"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249578"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249548"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249509"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249434"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249411"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249407"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249493"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249385"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249601"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249317"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249487"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249627"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249553"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249639"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249524"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249469"|"RCB_STE_COM000000000016"|||"C**"
"RCB_TIE000000249648"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249427"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249494"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249673"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249625"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249606"|"RCB_STE_COM000000000016"|||"B**"
"RCB_TIE000000249510"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249406"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249595"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249719"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249447"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249504"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249733"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249480"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249722"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249635"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249479"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000249633"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249546"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249714"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249482"|"RCB_STE_COM000000000016"|||"2**"
"RCB_TIE000000249614"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249511"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000249619"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249414"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249551"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000250284"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249543"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249657"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249688"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249515"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249561"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249433"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249699"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000250174"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249679"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249651"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000250126"|"RCB_STE_COM000000000016"|||"1**"
"RCB_TIE000000249658"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249472"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249557"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249667"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249518"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249558"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249599"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249794"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249549"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249559"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249523"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249534"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249604"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249874"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249538"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249628"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249571"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249684"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000250105"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249600"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000249586"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249581"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249574"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249502"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249499"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249533"|"RCB_STE_COM000000000016"|||"5**"
"RCB_TIE000000250113"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000250086"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249607"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249492"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249461"|"RCB_STE_COM000000000016"|||"A**"
"RCB_TIE000000249488"|"RCB_STE_COM000000000016"|||"B**"
"RCB_TIE000000249544"|"RCB_STE_COM000000000016"|||"A**"
