ADRESSE_ID|||||||||||||||||||ERP_ID_ADRESSE
RCB_ADR000000381836|||||||||||||||||||79160
RCB_ADR000000381840|||||||||||||||||||167039
RCB_ADR000000381837|||||||||||||||||||175759
RCB_ADR000000381845|||||||||||||||||||112843
RCB_ADR000000381846|||||||||||||||||||75454
RCB_ADR000000381850|||||||||||||||||||72311
RCB_ADR000000381849|||||||||||||||||||78298
RCB_ADR000000381852|||||||||||||||||||78922
RCB_ADR000000381851|||||||||||||||||||82956
RCB_ADR000000381854|||||||||||||||||||163211
RCB_ADR000000381855|||||||||||||||||||122133
RCB_ADR000000381856|||||||||||||||||||180915
RCB_ADR000000381859|||||||||||||||||||167785
RCB_ADR000000381860|||||||||||||||||||82810
RCB_ADR000000381864|||||||||||||||||||123336
RCB_ADR000000381867|||||||||||||||||||125118
RCB_ADR000000381863|||||||||||||||||||142554
RCB_ADR000000381866|||||||||||||||||||168299
RCB_ADR000000381865|||||||||||||||||||79276
RCB_ADR000000381861|||||||||||||||||||65405
RCB_ADR000000381868|||||||||||||||||||181115
RCB_ADR000000381872|||||||||||||||||||72293
RCB_ADR000000381873|||||||||||||||||||162521
RCB_ADR000000381875|||||||||||||||||||82619
RCB_ADR000000381877|||||||||||||||||||123608
RCB_ADR000000381874|||||||||||||||||||83366
RCB_ADR000000381878|||||||||||||||||||125940
RCB_ADR000000381876|||||||||||||||||||180063
RCB_ADR000000381880|||||||||||||||||||133035
RCB_ADR000000381882|||||||||||||||||||142431
RCB_ADR000000381884|||||||||||||||||||168753
RCB_ADR000000381892|||||||||||||||||||123490
RCB_ADR000000381893|||||||||||||||||||112861
RCB_ADR000000381894|||||||||||||||||||91892
RCB_ADR000000381895|||||||||||||||||||74701
RCB_ADR000000381897|||||||||||||||||||104937
RCB_ADR000000381896|||||||||||||||||||79506
RCB_ADR000000381898|||||||||||||||||||80725
RCB_ADR000000381899|||||||||||||||||||79076
RCB_ADR000000381900|||||||||||||||||||78880
RCB_ADR000000381901|||||||||||||||||||156261
RCB_ADR000000381902|||||||||||||||||||132286
RCB_ADR000000381904|||||||||||||||||||87949
RCB_ADR000000381903|||||||||||||||||||110428
RCB_ADR000000381905|||||||||||||||||||161491
RCB_ADR000000381906|||||||||||||||||||126272
RCB_ADR000000381908|||||||||||||||||||74986
RCB_ADR000000381910|||||||||||||||||||78664
RCB_ADR000000381911|||||||||||||||||||65866
RCB_ADR000000381913|||||||||||||||||||124048
RCB_ADR000000381914|||||||||||||||||||98945
RCB_ADR000000381916|||||||||||||||||||110438
RCB_ADR000000381920|||||||||||||||||||105273
RCB_ADR000000381921|||||||||||||||||||95331
RCB_ADR000000381922|||||||||||||||||||99008
RCB_ADR000000381925|||||||||||||||||||79572
RCB_ADR000000381927|||||||||||||||||||74569
RCB_ADR000000381924|||||||||||||||||||90489
RCB_ADR000000381926|||||||||||||||||||66747
RCB_ADR000000381928|||||||||||||||||||115145
RCB_ADR000000381929|||||||||||||||||||67514
RCB_ADR000000381932|||||||||||||||||||170709
RCB_ADR000000383229|||||||||||||||||||123356
RCB_ADR000000383234|||||||||||||||||||175323
RCB_ADR000000383232|||||||||||||||||||129942
RCB_ADR000000383233|||||||||||||||||||121318
RCB_ADR000000383235|||||||||||||||||||130294
RCB_ADR000000383236|||||||||||||||||||129220
RCB_ADR000000383237|||||||||||||||||||171975
RCB_ADR000000383238|||||||||||||||||||129120
RCB_ADR000000383240|||||||||||||||||||152478
RCB_ADR000000383242|||||||||||||||||||129742
RCB_ADR000000383243|||||||||||||||||||105713
RCB_ADR000000383244|||||||||||||||||||163341
RCB_ADR000000383241|||||||||||||||||||158031
RCB_ADR000000383247|||||||||||||||||||130320
RCB_ADR000000383246|||||||||||||||||||130034
RCB_ADR000000383245|||||||||||||||||||100051
RCB_ADR000000383248|||||||||||||||||||129218
RCB_ADR000000383249|||||||||||||||||||105679
RCB_ADR000000383250|||||||||||||||||||150231
RCB_ADR000000383251|||||||||||||||||||123392
RCB_ADR000000383256|||||||||||||||||||145505
RCB_ADR000000383259|||||||||||||||||||101687
RCB_ADR000000383260|||||||||||||||||||127892
RCB_ADR000000383261|||||||||||||||||||163559
RCB_ADR000000383264|||||||||||||||||||174849
RCB_ADR000000383265|||||||||||||||||||129182
RCB_ADR000000383266|||||||||||||||||||174817
RCB_ADR000000383271|||||||||||||||||||105963
RCB_ADR000000383272|||||||||||||||||||155892
RCB_ADR000000383273|||||||||||||||||||175825
RCB_ADR000000383275|||||||||||||||||||94909
RCB_ADR000000383276|||||||||||||||||||174873
RCB_ADR000000383282|||||||||||||||||||163611
RCB_ADR000000383281|||||||||||||||||||155431
RCB_ADR000000383283|||||||||||||||||||116920
RCB_ADR000000383284|||||||||||||||||||129208
RCB_ADR000000383285|||||||||||||||||||117121
RCB_ADR000000383286|||||||||||||||||||173247
RCB_ADR000000383289|||||||||||||||||||94989
RCB_ADR000000383293|||||||||||||||||||142201
RCB_ADR000000383292|||||||||||||||||||175205
RCB_ADR000000383295|||||||||||||||||||159455
RCB_ADR000000383296|||||||||||||||||||161533
RCB_ADR000000383297|||||||||||||||||||128590
RCB_ADR000000383299|||||||||||||||||||95039
RCB_ADR000000383300|||||||||||||||||||175225
RCB_ADR000000383303|||||||||||||||||||175857
RCB_ADR000000383304|||||||||||||||||||118164
RCB_ADR000000383306|||||||||||||||||||110839
RCB_ADR000000383308|||||||||||||||||||176337
RCB_ADR000000383309|||||||||||||||||||149952
RCB_ADR000000383307|||||||||||||||||||123514
RCB_ADR000000383310|||||||||||||||||||177609
RCB_ADR000000383312|||||||||||||||||||106525
RCB_ADR000000383314|||||||||||||||||||176135
RCB_ADR000000383315|||||||||||||||||||175285
RCB_ADR000000383316|||||||||||||||||||106493
RCB_ADR000000383317|||||||||||||||||||152924
RCB_ADR000000383318|||||||||||||||||||192755
RCB_ADR000000383319|||||||||||||||||||140512
RCB_ADR000000383322|||||||||||||||||||177779
RCB_ADR000000383323|||||||||||||||||||84825
RCB_ADR000000383325|||||||||||||||||||128660
RCB_ADR000000383327|||||||||||||||||||106573
RCB_ADR000000383329|||||||||||||||||||153584
